case_id,topic,case_type,source_chunk_id,question,answer,question_generator_model,rag_model,chunk_judge_model,actual_data_available,predicted_answerable,confusion_cell,retrieved_chunk_ids,judge_selected_chunk_ids,answer_supported_by_judge,origin_chunk_match,expected_answer_terms,answer_terms_matched,answer_term_coverage,strict_pass,latency_ms,rag_latency_ms,judge_latency_ms,total_latency_ms,question_generation,judge_rationale,status
N01,Genel CMS araştırmasının bağımsızlığı,Chunk-kökenli pozitif,genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c1,"Deniz CMS mühendisliği açık kaynak araştırması ADVENT'e özgü müdür, yoksa hangi tür genel kavramları açıklayan ürünlerden bağımsız bir çalışma mıdır?","Bu çalışma ADVENT'e özgü bir ürün incelemesi değildir; kamuya açık kaynaklardan deniz savaş yönetim sistemlerine ilişkin genel mühendislik kavramlarını açıklayan, ürünlerden bağımsız bir araştırmadır [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c1"", ""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c4""]","[""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c1""]",True,True,"[""ürünlerden bağımsız"", ""genel mühendislik kavramları""]","[""ürünlerden bağımsız"", ""genel mühendislik kavramları""]",1.0,True,0.235,0.235,101605.647,101605.882,"{""chunk_id"": ""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c1"", ""question"": ""Deniz CMS mühendisliği açık kaynak araştırması ADVENT'e özgü müdür, yoksa hangi tür genel kavramları açıklayan ürünlerden bağımsız bir çalışma mıdır?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",kamuya açık kaynaklardan genel mühendislik kavramlarını açıklar,completed
N02,Ölçek ve taktik veri bağları,Chunk-kökenli pozitif,advent_cms_kamuya_acik_arastirma.pdf:p1:c2,Kamuya açık özete göre ADVENT hangi iki uç yapı arasında ölçeklenebilir ve NATO uyumluluğu bağlamında hangi taktik veri bağlantılarını destekler?,"Kamuya açık özete göre ADVENT, küçük botlardan komuta merkezlerine kadar iki uç yapı arasında ölçeklenebilir ve NATO uyumluluğu bağlamında Link 11, Link 16, Link 22, SIMPLE, JREAP ve VMF gibi taktik veri bağlantılarını destekler. [SOURCE 1]",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms_kamuya_acik_arastirma.pdf:p1:c2"", ""advent_cms_kamuya_acik_arastirma.pdf:p1:c1""]","[""advent_cms_kamuya_acik_arastirma.pdf:p1:c2""]",True,True,"[""küçük botlardan komuta merkezlerine"", ""Link 11"", ""Link 16"", ""Link 22"", ""SIMPLE"", ""JREAP"", ""VMF""]","[""küçük botlardan komuta merkezlerine"", ""Link 11"", ""Link 16"", ""Link 22"", ""SIMPLE"", ""JREAP"", ""VMF""]",1.0,True,43387.66,43387.66,60111.92,103499.58,"{""chunk_id"": ""advent_cms_kamuya_acik_arastirma.pdf:p1:c2"", ""question"": ""Kamuya açık özete göre ADVENT hangi iki uç yapı arasında ölçeklenebilir ve NATO uyumluluğu bağlamında hangi taktik veri bağlantılarını destekler?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","iki uç yapı arasında ölçeklenebilir, taktik veri bağlantıları",completed
N03,Tehdit değerlendirme ve angajman,Chunk-kökenli pozitif,advent_cms_kamuya_acik_arastirma.pdf:p1:c3,ADVENT özetindeki tehdit değerlendirme ve angajman işlev grubu tehditlere hangi iki işlemi uygulayıp hangi planlamayı destekler?,"Tehdit değerlendirme ve angajman işlevi; tehditleri değerlendirir, önceliklendirir ve angajman planlamasını destekler [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms_kamuya_acik_arastirma.pdf:p1:c3"", ""advent_cms_kamuya_acik_arastirma.pdf:p1:c1""]","[""advent_cms_kamuya_acik_arastirma.pdf:p1:c3""]",True,True,"[""değerlendirme|değerlendirilmesi|değerlendirir"", ""önceliklendirme|önceliklendirilmesi|önceliklendirir"", ""angajman planlama|angajman planlaması""]","[""değerlendirme|değerlendirilmesi|değerlendirir"", ""önceliklendirme|önceliklendirilmesi|önceliklendirir"", ""angajman planlama|angajman planlaması""]",1.0,True,1.903,1.903,63280.258,63282.161,"{""chunk_id"": ""advent_cms_kamuya_acik_arastirma.pdf:p1:c3"", ""question"": ""ADVENT özetindeki tehdit değerlendirme ve angajman işlev grubu tehditlere hangi iki işlemi uygulayıp hangi planlamayı destekler?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","Tehdit değerlendirme, önceliklendirme ve angajman planlaması",completed
N04,Academy eğitim yöntemi ve yeri,Chunk-kökenli pozitif,advent_cms.pdf:p30:c2,ADVENT Academy eğitimi hangi öğrenme yöntemiyle verir ve eğitim oturumları hangi iki yerde gerçekleştirilebilir?,"ADVENT Academy, yapılandırılmış müfredat ve uygulamalı öğrenme kullanır; eğitim oturumları gemide veya İstanbul'daki simülatör odasında gerçekleştirilebilir [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,False,FN,"[""advent_cms.pdf:p30:c1"", ""advent_cms.pdf:p30:c2""]",[],False,False,"[""yapılandırılmış müfredat|structured curriculum"", ""uygulamalı öğrenme|hands-on learning"", ""gemide|on board"", ""İstanbul'daki simülatör odası|simulator room situated in Istanbul""]","[""yapılandırılmış müfredat|structured curriculum"", ""uygulamalı öğrenme|hands-on learning"", ""gemide|on board"", ""İstanbul'daki simülatör odası|simulator room situated in Istanbul""]",1.0,False,1.515,1.515,32012.506,32014.021,"{""chunk_id"": ""advent_cms.pdf:p30:c2"", ""question"": ""ADVENT Academy eğitimi hangi öğrenme yöntemiyle verir ve eğitim oturumları hangi iki yerde gerçekleştirilebilir?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",No supporting chunks found,completed
N05,RAG veri minimizasyonu,Chunk-kökenli pozitif,deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c1,Bu RAG prototipinde veri minimizasyonu ve kapalı bilgi alanı ilkeleri hangi kaynakları indekslemeyi ve çalışma anında ne yapmamayı gerektirir?,Veri minimizasyonu yalnız kamuya açık ve küratörlü belgelerin indekslenmesini; kapalı bilgi alanı ise çalışma anında web taraması yapılmamasını gerektirir [SOURCE 1].,OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c1"", ""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c2""]","[""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c1""]",True,True,"[""kamuya açık ve küratörlü belgeler"", ""web taraması yapılmaz|web taraması yapılmaması""]","[""kamuya açık ve küratörlü belgeler"", ""web taraması yapılmaz|web taraması yapılmaması""]",1.0,True,1.064,1.064,48413.357,48414.42,"{""chunk_id"": ""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c1"", ""question"": ""Bu RAG prototipinde veri minimizasyonu ve kapalı bilgi alanı ilkeleri hangi kaynakları indekslemeyi ve çalışma anında ne yapmamayı gerektirir?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",Kapalı bilgi alanı ve veri minimizasyonu ilkeleri,completed
N06,Birlikte çalışabilirlik anlamı,Chunk-kökenli pozitif,genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c5,Genel CMS mühendisliğinde birlikte çalışabilirlik neden yalnız fiziksel bağlantı değildir; veri modeli dışında tutarlı yorumlanması gereken üç unsur nedir?,"Birlikte çalışabilirlik yalnız fiziksel bağlantı değildir; veri modeliyle birlikte ileti biçimi, zamanlama ve kimliğin sistemlerde tutarlı yorumlanmasını gerektirir [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c5"", ""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c4""]","[""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c5""]",True,True,"[""ileti biçimi"", ""zamanlama"", ""kimlik|kimliğin""]","[""ileti biçimi"", ""zamanlama"", ""kimlik|kimliğin""]",1.0,True,1.049,1.049,53071.054,53072.103,"{""chunk_id"": ""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c5"", ""question"": ""Genel CMS mühendisliğinde birlikte çalışabilirlik neden yalnız fiziksel bağlantı değildir; veri modeli dışında tutarlı yorumlanması gereken üç unsur nedir?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","veri modeli, ileti biçimi, zamanlama",completed
N07,AI paketi veri sınırı,Chunk-kökenli pozitif,advent_ai_kamuya_acik_arastirma.pdf:p1:c1,ADVENT AI araştırma paketi hangi beş hassas veri veya teknik ayrıntı türünü içermez ve açıklanan yetenekleri neden doğrulanmış performans sonucu saymaz?,"Kaynakta soruyla ilgili şu bilgi yer alıyor: Kamuya açık ön çalışma · Şirket içi/tasnifli veri içermez Sayfa 1 ADVENT AI Kamuya Açık Araştırma Özeti Kürasyon tarihi: 5 Ağustos 2026 · Yalnız kamuya açık kaynaklar Kapsam ve veri sınırı Bu paket yalnız HAVELSAN'ın kamuya açık açıklamalarından türetilmiştir. Şirket içi eğitim verileri, mimari ayrıntılar, algoritma parametreleri, operasyonel veri veya tasnifli bilgi içermez. Açıklanan yetenekler ürün sahibinin kamuya açık beyanlarıdır; bu ön çalışma bunları bağımsız olarak doğrulanmış performans sonuçları şeklinde sunmaz. Büyük veri analitiği, makine öğrenmesi, görüntü tanıma ve büyük dil modelleri bu yetenekleri destekleyen teknoloji sınıfları arasında sayılır. [SOURCE 1]",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_ai_kamuya_acik_arastirma.pdf:p1:c1"", ""advent_ai_kamuya_acik_arastirma.pdf:p1:c3""]","[""advent_ai_kamuya_acik_arastirma.pdf:p1:c1""]",True,True,"[""şirket içi eğitim verileri"", ""mimari ayrıntılar"", ""algoritma parametreleri"", ""operasyonel veri"", ""tasnifli bilgi"", ""kamuya açık beyan""]","[""şirket içi eğitim verileri"", ""mimari ayrıntılar"", ""algoritma parametreleri"", ""operasyonel veri"", ""tasnifli bilgi"", ""kamuya açık beyan""]",1.0,True,11256.079,11256.079,72913.773,84169.851,"{""chunk_id"": ""advent_ai_kamuya_acik_arastirma.pdf:p1:c1"", ""question"": ""ADVENT AI araştırma paketi hangi beş hassas veri veya teknik ayrıntı türünü içermez ve açıklanan yetenekleri neden doğrulanmış performans sonucu saymaz?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",Şirket içi/tasnifli veri içermez,completed
N08,ADVENT Academy,Chunk-kökenli pozitif,advent_cms.pdf:p30:c1,ADVENT Academy neden kurulmuştur ve personele hangi sistemin hangi koşullardaki kullanımı için beceri kazandırmayı amaçlar?,"ADVENT Academy, yetkin operatörler yetiştirmek ve personele ADVENT CMS'i her türlü savaş senaryosunda etkili kullanacak bilgi ve becerileri kazandırmak amacıyla kurulmuştur [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p30:c1"", ""advent_cms.pdf:p30:c2""]","[""advent_cms.pdf:p30:c1""]",True,True,"[""yetkin operatör|proficient operators"", ""ADVENT CMS"", ""herhangi bir savaş senaryosu|her türlü savaş senaryosu|any warfare scenario""]","[""yetkin operatör|proficient operators"", ""ADVENT CMS"", ""herhangi bir savaş senaryosu|her türlü savaş senaryosu|any warfare scenario""]",1.0,True,2.787,2.787,44396.354,44399.141,"{""chunk_id"": ""advent_cms.pdf:p30:c1"", ""question"": ""ADVENT Academy neden kurulmuştur ve personele hangi sistemin hangi koşullardaki kullanımı için beceri kazandırmayı amaçlar?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",kurulma nedeni ve beceri kazandırma amaçları,completed
N09,ADVENT-AI bilişsel destek,Chunk-kökenli pozitif,advent_ai_kamuya_acik_arastirma.pdf:p1:c4,ADVENT-AI büyük operasyonel veri içindeki neyi görünür kılmayı ve operatör üzerindeki hangi yükü azaltmayı amaçlar?,"ADVENT-AI; operatörün bilişsel yükünü azaltmayı, karar süreçlerini hızlandırmayı ve büyük veri içindeki anlamlı örüntüleri görünür kılmayı amaçlayan yapay zekâ destekli yetenekler bütünüdür [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_ai_kamuya_acik_arastirma.pdf:p1:c3"", ""advent_ai_kamuya_acik_arastirma.pdf:p1:c1""]","[""advent_ai_kamuya_acik_arastirma.pdf:p1:c3""]",True,False,"[""örüntü|pattern"", ""bilişsel yük|cognitive load""]","[""örüntü|pattern"", ""bilişsel yük|cognitive load""]",1.0,False,7.037,7.037,63763.876,63770.913,"{""chunk_id"": ""advent_ai_kamuya_acik_arastirma.pdf:p1:c4"", ""question"": ""ADVENT-AI büyük operasyonel veri içindeki neyi görünür kılmayı ve operatör üzerindeki hangi yükü azaltmayı amaçlar?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","bilişsel yükü azaltma, karar süreçlerini hızlandırma",completed
N10,Deniz C2 durumsal farkındalık,Chunk-kökenli pozitif,deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c3,"Kamuya açık GCCS-M tanımında deniz C2 kullanıcılarına hangi zamanlı farkındalık, hangi iki ortak resim ve kimler arasında veri paylaşımı sağlanır?",Kamuya açık GCCS-M tanımında deniz C2 kullanıcılarına gerçek zamanlı taktik/operasyonel durumsal farkındalık sağlanır. Aynı sistemde ortak operasyon ve taktik resimlerle Müttefik/koalisyon ortakları arasında veri paylaşımı sağlanır. [SOURCE 1],OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c3"", ""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c1""]","[""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c3""]",True,True,"[""gerçeğe yakın zamanlı|gerçek zamanlı"", ""ortak operasyon ve taktik resim"", ""Müttefik|koalisyon""]","[""gerçeğe yakın zamanlı|gerçek zamanlı"", ""ortak operasyon ve taktik resim"", ""Müttefik|koalisyon""]",1.0,True,16297.056,16297.056,87072.902,103369.958,"{""chunk_id"": ""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c3"", ""question"": ""Kamuya açık GCCS-M tanımında deniz C2 kullanıcılarına hangi zamanlı farkındalık, hangi iki ortak resim ve kimler arasında veri paylaşımı sağlanır?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","gerçek zamanlı taktik/operasyonel durumsal farkındalık, ortak operasyon ve taktik resimler, Müttefik/koalisyon",completed
