case_id,topic,case_type,source_chunk_id,question,answer,question_generator_model,rag_model,chunk_judge_model,actual_data_available,predicted_answerable,confusion_cell,retrieved_chunk_ids,judge_selected_chunk_ids,answer_supported_by_judge,origin_chunk_match,expected_answer_terms,answer_terms_matched,answer_term_coverage,strict_pass,latency_ms,rag_latency_ms,judge_latency_ms,total_latency_ms,question_generation,judge_rationale,status
L01,Geliştirme iş birliği,Chunk-kökenli pozitif,advent_cms.pdf:p3:c1,ADVENT hangi araştırma merkeziyle iş birliği içinde ve hangi temel gereksinimleri karşılamak üzere geliştirilmiştir?,"ADVENT, tarafından ARMERKOM ile iş birliği içinde geliştirilmiştir ve tüm komuta & kontrol gereksinimlerini karşılamak üzere oluşturulmuştur. [SOURCE 1]",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p3:c1"", ""advent_cms.pdf:p3:c2""]","[""advent_cms.pdf:p3:c1""]",True,True,"[""ARMERKOM|Turkish Naval Forces Research Center Command"", ""komuta-kontrol|command & control""]","[""ARMERKOM|Turkish Naval Forces Research Center Command"", ""komuta-kontrol|command & control""]",1.0,True,7653.004,7653.004,42184.658,49837.662,"{""chunk_id"": ""advent_cms.pdf:p3:c1"", ""question"": ""ADVENT hangi araştırma merkeziyle iş birliği içinde ve hangi temel gereksinimleri karşılamak üzere geliştirilmiştir?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",ARMERKOM ile iş birliği içinde geliştirilmiştir ve tüm komuta & kontrol gereksinimlerini karşılamak üzere oluşturulmuştur.,completed
L02,İz yönetimi,Chunk-kökenli pozitif,advent_cms.pdf:p9:c1,"ADVENT iz yönetimi, farklı kaynaklardan gelen iz verilerini işlerken hangi iki algoritmayı kullanır?","ADVENT, iz yönetimi sırasında farklı kaynaklardan gelen iz verilerini işlerken kendi içinde kullanılan iki algoritma olan ""[Correlation]"" ve ""[Merging]"" kullanır. [SOURCE 1]",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p9:c3"", ""advent_cms.pdf:p9:c1""]","[""advent_cms.pdf:p9:c1""]",True,True,"[""korelasyon|correlation"", ""birleştirme|merging""]","[""korelasyon|correlation"", ""birleştirme|merging""]",1.0,True,9991.537,9991.537,40615.945,50607.481,"{""chunk_id"": ""advent_cms.pdf:p9:c1"", ""question"": ""ADVENT iz yönetimi, farklı kaynaklardan gelen iz verilerini işlerken hangi iki algoritmayı kullanır?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",processes correlation and merging algorithms,completed
L03,Seyir desteği,Chunk-kökenli pozitif,advent_cms.pdf:p9:c2,"ADVENT seyir desteği, seyir planlama ve icrasına ek olarak hangi üç işlevi sağlar?","ADVENT seyir desteği; seyir planlama ve icrasına ek olarak taranmış kanal (swept-channel), seyir güvenliği ve demirleme işlevlerini sağlar [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p9:c3"", ""advent_cms.pdf:p9:c1""]","[""advent_cms.pdf:p9:c1""]",True,False,"[""swept-channel|taranmış kanal"", ""navigation safety|seyir güvenliği"", ""anchoring|demirleme""]","[""swept-channel|taranmış kanal"", ""navigation safety|seyir güvenliği"", ""anchoring|demirleme""]",1.0,False,3.197,3.197,27068.595,27071.792,"{""chunk_id"": ""advent_cms.pdf:p9:c2"", ""question"": ""ADVENT seyir desteği, seyir planlama ve icrasına ek olarak hangi üç işlevi sağlar?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","track management, situational awareness, system management",completed
L04,Ortak harekât,Chunk-kökenli pozitif,advent_cms.pdf:p10:c2,ADVENT ortak operasyonları arama-kurtarma ve seyir gibi görevler için nasıl planlayıp icra eder?,"ADVENT ortak operasyonları merkezî planlama, dağıtım ve eş zamanlı icra yaklaşımıyla; arama-kurtarma, seyir ve operasyon görevlerini koordineli biçimde destekler [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p10:c1"", ""advent_cms.pdf:p10:c2""]","[""advent_cms.pdf:p10:c2""]",True,True,"[""merkezî planlama|centralized planning"", ""dağıtım|distribution"", ""eş zamanlı icra|simultaneous execution""]","[""merkezî planlama|centralized planning"", ""dağıtım|distribution"", ""eş zamanlı icra|simultaneous execution""]",1.0,True,3.389,3.389,48436.881,48440.27,"{""chunk_id"": ""advent_cms.pdf:p10:c2"", ""question"": ""ADVENT ortak operasyonları arama-kurtarma ve seyir gibi görevler için nasıl planlayıp icra eder?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","centralized planning, distribution and simultaneous execution for tasks",completed
L05,Taktik veri bağları,Chunk-kökenli pozitif,advent_cms.pdf:p12:c1,ADVENT'in bütün link türlerini CMS yazılımına bütünleştirmesi hangi ek bileşenlere duyulan ihtiyacı ortadan kaldırır?,"Tüm link türlerinin ADVENT CMS yazılımına bütünleştirilmesi; ek yazılım, donanım ve link veri işlemci birimi gereksinimini ortadan kaldırır [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p12:c1"", ""advent_cms.pdf:p12:c2""]","[""advent_cms.pdf:p12:c1""]",True,True,"[""ek yazılım|additional software"", ""donanım|hardware"", ""link veri işlemci|link data processor""]","[""ek yazılım|additional software"", ""donanım|hardware"", ""link veri işlemci|link data processor""]",1.0,True,3.68,3.68,38887.099,38890.779,"{""chunk_id"": ""advent_cms.pdf:p12:c1"", ""question"": ""ADVENT'in bütün link türlerini CMS yazılımına bütünleştirmesi hangi ek bileşenlere duyulan ihtiyacı ortadan kaldırır?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","eliminates need for additional software, hardware or link data processor units",completed
L06,Eğitim kabiliyetleri,Chunk-kökenli pozitif,advent_cms.pdf:p16:c1,ADVENT eğitim işlevlerini tek gemi ve çoklu gemi eğitimi açısından nasıl sunar?,"ADVENT eğitim işlevleri tek gemi ve çoklu gemi eğitimi açısından aşağıdaki şekilde sunar: TRAINING CAPABILITIES ADVENT provides advanced training capabilities, available both in virtual environments through simulators and in real environments with live systems. These robust training functionalities are accessible for individual ships and can also facilitate collaborative training among multiple ships, leveraging the network-enabled capability. [SOURCE 1]",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p16:c1"", ""advent_cms.pdf:p16:c2""]","[""advent_cms.pdf:p16:c1""]",True,True,"[""tek gemi|individual ships"", ""iş birliğine dayalı eğitim|collaborative training"", ""ağ destekli yetenek|network-enabled capability""]","[""tek gemi|individual ships"", ""iş birliğine dayalı eğitim|collaborative training"", ""ağ destekli yetenek|network-enabled capability""]",1.0,True,31362.595,31362.595,43385.97,74748.565,"{""chunk_id"": ""advent_cms.pdf:p16:c1"", ""question"": ""ADVENT eğitim işlevlerini tek gemi ve çoklu gemi eğitimi açısından nasıl sunar?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",ADVENT provides training for individual and multiple ships,completed
L07,Alt sistem entegrasyonu,Chunk-kökenli pozitif,advent_cms.pdf:p17:c2,ADVENT ile tam bütünleşik çalışıp özel konsol ihtiyacını ortadan kaldırabilen dört savaş sistemi birimi hangileridir?,"SONAR, ESM, TDL ve silah sistemleri ADVENT ile tam bütünleşik çalışabilir; özel konsol gerektirmeden herhangi bir CMS konsolundan tam işlevle kullanılabilir [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p17:c1"", ""advent_cms.pdf:p17:c2""]","[""advent_cms.pdf:p17:c2""]",True,True,"[""SONAR"", ""ESM"", ""TDL"", ""silah sistem|weapon systems""]","[""SONAR"", ""ESM"", ""TDL"", ""silah sistem|weapon systems""]",1.0,True,5.596,5.596,53632.223,53637.819,"{""chunk_id"": ""advent_cms.pdf:p17:c2"", ""question"": ""ADVENT ile tam bütünleşik çalışıp özel konsol ihtiyacını ortadan kaldırabilen dört savaş sistemi birimi hangileridir?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","ADVENT integrates with sonar, ESM, TDL systems",completed
L08,Mayın karşı tedbir görev yönetimi,Chunk-kökenli pozitif,advent_cms.pdf:p20:c1,ADVENT'in mayın harbi icrası için sunduğu dört ana MCM hizmet aşaması hangileridir?,"Kaynakta soruyla ilgili şu bilgi yer alıyor: Along with other CMS capabilities, ADVENT provides MCM-specific main services for Planning, Preparation, Realization and Post-Op Analysis to execute Mine Warfare operations by Detection, Classification, Identification and Disposal of mine threats, tactically adjusting the plan execution when deemed necessary. Additionally, ADVENT KALYON provides the following MCM support services: ADVENT MINE WARFARE FEATURES ADVENT COMBAT MANAGEMENT SYSTEM 19 • [SOURCE 1]",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p20:c1"", ""advent_cms_kamuya_acik_arastirma.pdf:p2:c1""]","[""advent_cms.pdf:p20:c1""]",True,True,"[""planlama|planning"", ""hazırlık|preparation"", ""gerçekleştirme|realization"", ""operasyon sonrası analiz|post-op analysis""]","[""planlama|planning"", ""hazırlık|preparation"", ""gerçekleştirme|realization"", ""operasyon sonrası analiz|post-op analysis""]",1.0,True,39654.475,39654.475,54016.354,93670.83,"{""chunk_id"": ""advent_cms.pdf:p20:c1"", ""question"": ""ADVENT'in mayın harbi icrası için sunduğu dört ana MCM hizmet aşaması hangileridir?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","Planning, Preparation, Realization and Post-Op Analysis",completed
L09,ADVENT MARTI,Chunk-kökenli pozitif,advent_cms.pdf:p22:c1,ADVENT MARTI'nin veri işleme kabiliyetleri sensörler ve taktik veri bağlarından gelen veriye hangi üç işlemi uygular?,"ADVENT MARTI, özel görev uçakları ve helikopterler için tasarlanmış hava komuta-kontrol sistemidir; gerçek zamanlı gözetleme, durumsal farkındalık, karar desteği ve angajman planlamayı destekler. Sensörler ve taktik veri bağlarından gelen veriye toplama, analiz ve füzyon uygular [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p22:c1"", ""advent_cms.pdf:p22:c2""]","[""advent_cms.pdf:p22:c2""]",True,False,"[""toplama|collection"", ""analiz|analysis"", ""füzyon|fusion"", ""taktik veri bağ|tactical data links""]","[""toplama|collection"", ""analiz|analysis"", ""füzyon|fusion"", ""taktik veri bağ|tactical data links""]",1.0,False,3.855,3.855,26863.254,26867.109,"{""chunk_id"": ""advent_cms.pdf:p22:c1"", ""question"": ""ADVENT MARTI'nin veri işleme kabiliyetleri sensörler ve taktik veri bağlarından gelen veriye hangi üç işlemi uygular?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","toplamak, analiz etmek ve füzyon yapmak",completed
L10,ADVENT ROTA,Chunk-kökenli pozitif,advent_cms.pdf:p24:c1,ADVENT ROTA insansız platformların hangi sistemini geliştirmek üzere tasarlanmıştır ve entegrasyonu hangi arayüz niteliği kolaylaştırır?,"ADVENT ROTA, insansız platformların seyir sistemini geliştirmek üzere tasarlanmıştır; modüler ve esnek arayüzleri sensör/silah yönetimi ile insanlı sistemlere ağ destekli entegrasyonu kolaylaştırır [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p24:c1""]","[""advent_cms.pdf:p24:c1""]",True,True,"[""seyir sistemi|navigation system"", ""modüler ve esnek arayüz|modular and flexible interfaces""]","[""seyir sistemi|navigation system"", ""modüler ve esnek arayüz|modular and flexible interfaces""]",1.0,True,3.731,3.731,34767.945,34771.676,"{""chunk_id"": ""advent_cms.pdf:p24:c1"", ""question"": ""ADVENT ROTA insansız platformların hangi sistemini geliştirmek üzere tasarlanmıştır ve entegrasyonu hangi arayüz niteliği kolaylaştırır?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",geliştirilen sistem ve entegrasyon nitelikleri,completed
