chunk_id,document,page,collection,characters,estimated_tokens,starts_with_word,ends_with_terminal,text
advent_cms.pdf:p3:c1,advent_cms.pdf,3,official,855,144,True,True,"Introducing combat-proven ADVENT, the pinnacle of Combat Management Systems, poised to revolutionize naval operations worldwide with its commitment to tactical excellence. Developed in cooperation with the Turkish Naval Forces Research Center Command (ARMERKOM) to meet all command & control requirements of the naval forces, with a strong presence in the Turkish Navy and recognized globally as the preferred choice for numerous navies, ADVENT redefines situational awareness, decision-making capabilities, and operational efficiency. Its core features epitomize sophistication and precision, offering a blend of cutting-edge technology and strategic design. At the heart of ADVENT lies its advanced capabilities, including Network Enabled Capability (NEC), which optimizes operational effectiveness through centralized control and distributed execution."
advent_cms.pdf:p3:c2,advent_cms.pdf,3,official,766,118,True,True,"including Network Enabled Capability (NEC), which optimizes operational effectiveness through centralized control and distributed execution. This system facilitates seamless sharing of weapon and sensor capabilities across platforms, enabling strategic planning, threat assessment, and coordinated execution across all task forces. Furthermore, ADVENT’s advanced sensor data fusion provides commanders with unparalleled situational awareness, empowering them to make informed decisions swiftly in complex operational environments. ADVENT boasts superior command and control modules, AI supported decision support tools, and secure communication systems, ensuring optimized resource allocation, seamless information flow, and effective coordination among naval units."
advent_cms.pdf:p3:c3,advent_cms.pdf,3,official,585,95,True,False,"and secure communication systems, ensuring optimized resource allocation, seamless information flow, and effective coordination among naval units. Its state-of-the-art training and simulation platform further enhances crew readiness and tactical skills, preparing naval forces for the challenges of modern warfare. With its versatility, adaptability, and global reach, ADVENT represents the future of naval warfare, offering navies worldwide a decisive advantage in achieving unparalleled success while embodying the essence of tactical excellence. TACTICAL EXCELLENCE havelsan.com.tr2"
advent_cms.pdf:p4:c1,advent_cms.pdf,4,official,841,143,True,True,"Each variant of ADVENT offers tailored solutions, encompassing Command and Control (C2), Mission Management System (MMS), and Combat Management System (CMS) functionalities, ensuring optimized performance across diverse operational environments ONE CMS FOR ALL ADVENT represents the cutting-edge in combat management system technology, offering a versatile product line tailored to meet the evolving operational demands of modern forces. Beyond conventional self- defense capabilities for individual units, ADVENT is engineered as a next-generation solution, designed with a modular structure and developed within a scalable open architecture. This adaptable framework allows seamless integration across various platform types, each with distinct operational roles. Surface platforms benefit from the advanced capabilities of ADVENT KAL YON."
advent_cms.pdf:p4:c2,advent_cms.pdf,4,official,594,109,True,False,"across various platform types, each with distinct operational roles. Surface platforms benefit from the advanced capabilities of ADVENT KAL YON. • A special version of ADVENT KAL YON to meet the operational requirements of minehunters. Subsurface platforms are equipped with the specialized features of ADVENT MÜREN. Providing comprehensive mission management solutions, ADVENT MARTI caters the needs of naval air platforms. On land, installations are empowered by ADVENT UFUK. Unmanned platforms are enhanced with the cutting-edge capabilities of ADVENT ROTA. ADVENT COMBAT MANAGEMENT SYSTEM 3"
advent_cms.pdf:p5:c1,advent_cms.pdf,5,official,850,153,True,True,"MORE THAN JUST A CMS GENERAL FEATURES ADVENT sets a new standard for efficiency and effectiveness in warfare environments, offering a holistic solution tailored to meet the dynamic demands of modern warfare, from task force-oriented services to fully integrated TDL functionality. Its seamless integration into platform systems, combined with an AI-supported rule-based decision support system, ensures optimal performance in any operational scenario. With a versatile suite of capabilities designed to enhance naval operations, the independently developed software components of ADVENT adhere to the standards defined in the ADVENT style guide, providing diverse capabilities and services with a cohesive and modern look. From unparalleled situational awareness to advanced communication systems, ADVENT is more than just a combat management system."
advent_cms.pdf:p5:c2,advent_cms.pdf,5,official,509,83,True,False,"and modern look. From unparalleled situational awareness to advanced communication systems, ADVENT is more than just a combat management system. TASK FORCE ORIENTED SERVICES NAVIGATION SERVICES RULE BASED DECISION SUPPORT SYSTEM NON - WARFARE CAPABILITIES SUPPORT CAPABILITIES AI SUPPORTED RULE BASED DECISION SUPPORT SYSTEM WARFARE CAPABILITIES OPERATIONAL SUPPORT TRAINING CAPABILITIES FULLY INTEGRATED TDL FUNCTIONALITY INTEGRATION TO PLATFORM COMBAT SYSTEM UNITS OPERATIONAL CAPABILITIES 4 havelsan.com.tr"
advent_cms.pdf:p6:c1,advent_cms.pdf,6,official,892,142,True,False,"KEY FEATURES Force oriented (Network Enabled Capability, Force-wide threat evaluation, engagement planning and execution, cooperative training and operations) Dynamic registration of platform weapons and sensors to the network AI supported capabilities Effective tactical display features (3D, Digital / Analog TV and radar video display) Comprehensive decision support functions comprising tabular, graphical and rule-based presentations Platform and force-wide EMCON management Doctrine management with authorized access Effective and comprehensive data recording / playback and analysis services Operations other than Warfare (OOTW) management Humanitarian aid operations Amphibious operation Chemical, Biological, Radiological, Nuclear (CBRN) Warfare ADVENT COMBAT MANAGEMENT SYSTEM 5 AI based anomaly detection system Multifunctional AI maintenance support network Mine warfare operation"
advent_cms.pdf:p7:c1,advent_cms.pdf,7,official,473,77,True,False,"havelsan.com.tr Fully integrated Multilink Capability with L11, L16, L22, SIMPLE, JREAP Unmanned vehicle (UxV) control & monitoring without the need for a separate dedicated console. Comprehensive training and simulation architecture Improved diagnostic recognition capability Navigation planning and execution, operations management Search & Rescue operationsVoice Command & Control System Support 6 AI based video processing system Personnel/CIC/Task Group Level Training"
advent_cms.pdf:p8:c1,advent_cms.pdf,8,official,900,173,True,False,WARFARE CAPABILITIES • Surface Warfare • Anti-Air Warfare • Anti-Submarine Warfare • Asymmetric Warfare • Mine Warfare • Electronic Warfare • Threat Evaluation • Engagement Planning and Execution • Air Control NON-WARFARE CAPABILITIES • Situational Awareness • Classification & Identification • Navigation Services • Operational Support • Decision Support • Operations Planning • Training & Simulation • Humanitarian Aid Operations • Search & Rescue • Platform & Intelligence Support • Network Enabled Capability (NEC) SUPPORT CAPABILITIES • System Management • Message Handling • Library Support • Data and Video Logging • Data and Video Replay • Online&Offline Analysis • Alert Management • User Assistant Tools • Capability Management • Technical Management • Fully Integrated TDL Functionality • Integration to Platform Combat System Units • AI Supported Rule Based Decision Support System • Oper
