case_id,retrieval_backend,topic,case_type,source_chunk_id,question,answer,question_generator_model,rag_model,chunk_judge_model,actual_data_available,predicted_answerable,confusion_cell,retrieved_chunk_ids,judge_selected_chunk_ids,answer_supported_by_judge,origin_chunk_match,expected_answer_terms,answer_terms_matched,answer_term_coverage,strict_pass,latency_ms,rag_latency_ms,judge_latency_ms,total_latency_ms,question_generation,judge_rationale,status
N01,pgvector,Genel CMS araştırmasının bağımsızlığı,Chunk-kökenli pozitif,genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c1,"Deniz CMS mühendisliği açık kaynak araştırması ADVENT'e özgü müdür, yoksa hangi tür genel kavramları açıklayan ürünlerden bağımsız bir çalışma mıdır?","Bu çalışma ADVENT'e özgü bir ürün incelemesi değildir; kamuya açık kaynaklardan deniz savaş yönetim sistemlerine ilişkin genel mühendislik kavramlarını açıklayan, ürünlerden bağımsız bir araştırmadır [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c1"", ""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c4""]","[""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c1""]",True,True,"[""ürünlerden bağımsız"", ""genel mühendislik kavramları""]","[""ürünlerden bağımsız"", ""genel mühendislik kavramları""]",1.0,True,0.381,0.381,67111.571,67111.953,"{""chunk_id"": ""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c1"", ""question"": ""Deniz CMS mühendisliği açık kaynak araştırması ADVENT'e özgü müdür, yoksa hangi tür genel kavramları açıklayan ürünlerden bağımsız bir çalışma mıdır?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",kamu açık kaynaklardan genel mühendislik kavramlarını açıklar,completed
N02,pgvector,Ölçek ve taktik veri bağları,Chunk-kökenli pozitif,advent_cms_kamuya_acik_arastirma.pdf:p1:c2,Kamuya açık özete göre ADVENT hangi iki uç yapı arasında ölçeklenebilir ve NATO uyumluluğu bağlamında hangi taktik veri bağlantılarını destekler?,"Kamuya açık özete göre ADVENT, küçük botlardan komuta merkezine kadar iki uç yapı arasında ölçeklenebilir ve NATO uyumluluğu bağlamında Link 11, Link 16, Link 22, SIMPLE, JREAP ve VMF gibi taktik veri bağlantılarını destekler. [SOURCE 1]",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,False,FN,"[""advent_cms_kamuya_acik_arastirma.pdf:p1:c2"", ""advent_cms_kamuya_acik_arastirma.pdf:p1:c1""]","[""advent_cms_kamuya_acik_arastirma.pdf:p1:c2""]",True,True,"[""küçük botlardan komuta merkezlerine"", ""Link 11"", ""Link 16"", ""Link 22"", ""SIMPLE"", ""JREAP"", ""VMF""]","[""Link 11"", ""Link 16"", ""Link 22"", ""SIMPLE"", ""JREAP"", ""VMF""]",0.8571,False,37854.821,37854.821,63485.38,101340.2,"{""chunk_id"": ""advent_cms_kamuya_acik_arastirma.pdf:p1:c2"", ""question"": ""Kamuya açık özete göre ADVENT hangi iki uç yapı arasında ölçeklenebilir ve NATO uyumluluğu bağlamında hangi taktik veri bağlantılarını destekler?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","iki uç yapı arasında ölçeklenebilir, taktik veri bağlantıları",completed
N03,pgvector,Tehdit değerlendirme ve angajman,Chunk-kökenli pozitif,advent_cms_kamuya_acik_arastirma.pdf:p1:c3,ADVENT özetindeki tehdit değerlendirme ve angajman işlev grubu tehditlere hangi iki işlemi uygulayıp hangi planlamayı destekler?,"Tehdit değerlendirme ve angajman işlevi; tehditleri değerlendirir, önceliklendirir ve angajman planlamasını destekler [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms_kamuya_acik_arastirma.pdf:p1:c3"", ""advent_cms_kamuya_acik_arastirma.pdf:p1:c1""]","[""advent_cms_kamuya_acik_arastirma.pdf:p1:c3""]",True,True,"[""değerlendirme|değerlendirilmesi|değerlendirir"", ""önceliklendirme|önceliklendirilmesi|önceliklendirir"", ""angajman planlama|angajman planlaması""]","[""değerlendirme|değerlendirilmesi|değerlendirir"", ""önceliklendirme|önceliklendirilmesi|önceliklendirir"", ""angajman planlama|angajman planlaması""]",1.0,True,1.194,1.194,63666.932,63668.126,"{""chunk_id"": ""advent_cms_kamuya_acik_arastirma.pdf:p1:c3"", ""question"": ""ADVENT özetindeki tehdit değerlendirme ve angajman işlev grubu tehditlere hangi iki işlemi uygulayıp hangi planlamayı destekler?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","Tehdit değerlendirme, önceliklendirme ve angajman planlaması",completed
N04,pgvector,Academy eğitim yöntemi ve yeri,Chunk-kökenli pozitif,advent_cms.pdf:p30:c2,ADVENT Academy eğitimi hangi öğrenme yöntemiyle verir ve eğitim oturumları hangi iki yerde gerçekleştirilebilir?,"ADVENT Academy, yapılandırılmış müfredat ve uygulamalı öğrenme kullanır; eğitim oturumları gemide veya İstanbul'daki simülatör odasında gerçekleştirilebilir [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,False,FN,"[""advent_cms.pdf:p30:c1"", ""advent_cms.pdf:p30:c2""]",[],False,False,"[""yapılandırılmış müfredat|structured curriculum"", ""uygulamalı öğrenme|hands-on learning"", ""gemide|on board"", ""İstanbul'daki simülatör odası|simulator room situated in Istanbul""]","[""yapılandırılmış müfredat|structured curriculum"", ""uygulamalı öğrenme|hands-on learning"", ""gemide|on board"", ""İstanbul'daki simülatör odası|simulator room situated in Istanbul""]",1.0,False,1.323,1.323,33983.94,33985.263,"{""chunk_id"": ""advent_cms.pdf:p30:c2"", ""question"": ""ADVENT Academy eğitimi hangi öğrenme yöntemiyle verir ve eğitim oturumları hangi iki yerde gerçekleştirilebilir?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",No supporting chunks found,completed
N05,pgvector,RAG veri minimizasyonu,Chunk-kökenli pozitif,deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c1,Bu RAG prototipinde veri minimizasyonu ve kapalı bilgi alanı ilkeleri hangi kaynakları indekslemeyi ve çalışma anında ne yapmamayı gerektirir?,Veri minimizasyonu yalnız kamuya açık ve küratörlü belgelerin indekslenmesini; kapalı bilgi alanı ise çalışma anında web taraması yapılmamasını gerektirir [SOURCE 1].,OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c1"", ""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c2""]","[""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c1""]",True,True,"[""kamuya açık ve küratörlü belgeler"", ""web taraması yapılmaz|web taraması yapılmaması""]","[""kamuya açık ve küratörlü belgeler"", ""web taraması yapılmaz|web taraması yapılmaması""]",1.0,True,1.088,1.088,51816.665,51817.753,"{""chunk_id"": ""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p2:c1"", ""question"": ""Bu RAG prototipinde veri minimizasyonu ve kapalı bilgi alanı ilkeleri hangi kaynakları indekslemeyi ve çalışma anında ne yapmamayı gerektirir?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",Kapalı bilgi alanı ve veri minimizasyonu ilkeleri,completed
N06,pgvector,Birlikte çalışabilirlik anlamı,Chunk-kökenli pozitif,genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c5,Genel CMS mühendisliğinde birlikte çalışabilirlik neden yalnız fiziksel bağlantı değildir; veri modeli dışında tutarlı yorumlanması gereken üç unsur nedir?,"Birlikte çalışabilirlik yalnız fiziksel bağlantı değildir; veri modeliyle birlikte ileti biçimi, zamanlama ve kimliğin sistemlerde tutarlı yorumlanmasını gerektirir [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c5"", ""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c4""]","[""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c5""]",True,True,"[""ileti biçimi"", ""zamanlama"", ""kimlik|kimliğin""]","[""ileti biçimi"", ""zamanlama"", ""kimlik|kimliğin""]",1.0,True,0.86,0.86,64769.88,64770.74,"{""chunk_id"": ""genel_cms_muhendislik_guvenilir_ai_arastirma.pdf:p1:c5"", ""question"": ""Genel CMS mühendisliğinde birlikte çalışabilirlik neden yalnız fiziksel bağlantı değildir; veri modeli dışında tutarlı yorumlanması gereken üç unsur nedir?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","veri modeli, ileti biçimi, zamanlama",completed
N07,pgvector,AI paketi veri sınırı,Chunk-kökenli pozitif,advent_ai_kamuya_acik_arastirma.pdf:p1:c1,ADVENT AI araştırma paketi hangi beş hassas veri veya teknik ayrıntı türünü içermez ve açıklanan yetenekleri neden doğrulanmış performans sonucu saymaz?,"ADVENT AI araştırma paketi hassas veri veya teknik ayrıntı türünü içermez: Kamuya açık kaynaklar Kapsam ve veri sınırı, şirket içi eğitim verileri, mimari ayrıntılar, algoritma parametreleri, operasyonel veri veya tasnifli bilgi içermez. Açıklanan yetenekler doğrulanmış performans sonuçları şeklinde sunulmaz. [SOURCE 1]",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,False,FN,"[""advent_ai_kamuya_acik_arastirma.pdf:p1:c1"", ""advent_ai_kamuya_acik_arastirma.pdf:p1:c3""]","[""advent_ai_kamuya_acik_arastirma.pdf:p1:c1""]",True,True,"[""şirket içi eğitim verileri"", ""mimari ayrıntılar"", ""algoritma parametreleri"", ""operasyonel veri"", ""tasnifli bilgi"", ""kamuya açık beyan""]","[""şirket içi eğitim verileri"", ""mimari ayrıntılar"", ""algoritma parametreleri"", ""operasyonel veri"", ""tasnifli bilgi""]",0.8333,False,41898.75,41898.75,83330.137,125228.887,"{""chunk_id"": ""advent_ai_kamuya_acik_arastirma.pdf:p1:c1"", ""question"": ""ADVENT AI araştırma paketi hangi beş hassas veri veya teknik ayrıntı türünü içermez ve açıklanan yetenekleri neden doğrulanmış performans sonucu saymaz?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","Kamuya açık kaynaklar Kapsam ve veri sınırı, şirket içi eğitim verileri, mimari ayrıntılar, algoritma parametreleri, operasyonel veri veya tasnifli bilgi içermez.",completed
N08,pgvector,ADVENT Academy,Chunk-kökenli pozitif,advent_cms.pdf:p30:c1,ADVENT Academy neden kurulmuştur ve personele hangi sistemin hangi koşullardaki kullanımı için beceri kazandırmayı amaçlar?,"ADVENT Academy, yetkin operatörler yetiştirmek ve personele ADVENT CMS'i her türlü savaş senaryosunda etkili kullanacak bilgi ve becerileri kazandırmak amacıyla kurulmuştur [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_cms.pdf:p30:c1"", ""advent_cms.pdf:p30:c2""]","[""advent_cms.pdf:p30:c1""]",True,True,"[""yetkin operatör|proficient operators"", ""ADVENT CMS"", ""herhangi bir savaş senaryosu|her türlü savaş senaryosu|any warfare scenario""]","[""yetkin operatör|proficient operators"", ""ADVENT CMS"", ""herhangi bir savaş senaryosu|her türlü savaş senaryosu|any warfare scenario""]",1.0,True,3.095,3.095,46183.743,46186.837,"{""chunk_id"": ""advent_cms.pdf:p30:c1"", ""question"": ""ADVENT Academy neden kurulmuştur ve personele hangi sistemin hangi koşullardaki kullanımı için beceri kazandırmayı amaçlar?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}",kurulma nedeni ve beceri kazandırma amaçları,completed
N09,pgvector,ADVENT-AI bilişsel destek,Chunk-kökenli pozitif,advent_ai_kamuya_acik_arastirma.pdf:p1:c4,ADVENT-AI büyük operasyonel veri içindeki neyi görünür kılmayı ve operatör üzerindeki hangi yükü azaltmayı amaçlar?,"ADVENT-AI; operatörün bilişsel yükünü azaltmayı, karar süreçlerini hızlandırmayı ve büyük veri içindeki anlamlı örüntüleri görünür kılmayı amaçlayan yapay zekâ destekli yetenekler bütünüdür [SOURCE 1].",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,True,TP,"[""advent_ai_kamuya_acik_arastirma.pdf:p1:c3"", ""advent_ai_kamuya_acik_arastirma.pdf:p1:c1""]","[""advent_ai_kamuya_acik_arastirma.pdf:p1:c3""]",True,False,"[""örüntü|pattern"", ""bilişsel yük|cognitive load""]","[""örüntü|pattern"", ""bilişsel yük|cognitive load""]",1.0,False,5.119,5.119,69450.39,69455.509,"{""chunk_id"": ""advent_ai_kamuya_acik_arastirma.pdf:p1:c4"", ""question"": ""ADVENT-AI büyük operasyonel veri içindeki neyi görünür kılmayı ve operatör üzerindeki hangi yükü azaltmayı amaçlar?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","bilişsel yükü azaltma, karar süreçlerini hızlandırma",completed
N10,pgvector,Deniz C2 durumsal farkındalık,Chunk-kökenli pozitif,deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c3,"Kamuya açık GCCS-M tanımında deniz C2 kullanıcılarına hangi zamanlı farkındalık, hangi iki ortak resim ve kimler arasında veri paylaşımı sağlanır?","Kamuya açık GCCS-M tanımında, deniz C2 kullanıcılarına gerçek zamanlı taktik/operasyonel durumsal farkındalık sağlanır. İki ortak resim ve Müttefik/koalisyon ortakları arasında veri paylaşımı sağlanır. [SOURCE 1]",OpenAI Codex büyük model · geliştirme zamanı,qwen2.5:3b,qwen2.5:7b,True,False,FN,"[""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c3"", ""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c1""]","[""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c3""]",True,True,"[""gerçeğe yakın zamanlı|gerçek zamanlı"", ""ortak operasyon ve taktik resim"", ""Müttefik|koalisyon""]","[""gerçeğe yakın zamanlı|gerçek zamanlı"", ""Müttefik|koalisyon""]",0.6667,False,40198.406,40198.406,88212.279,128410.685,"{""chunk_id"": ""deniz_c2_veri_ai_yonetisim_arastirma.pdf:p1:c3"", ""question"": ""Kamuya açık GCCS-M tanımında deniz C2 kullanıcılarına hangi zamanlı farkındalık, hangi iki ortak resim ve kimler arasında veri paylaşımı sağlanır?"", ""rationale"": ""Büyük model geliştirme oturumunda yalnız kaynak chunk kullanılarak üretildi ve sürümlü veri setine alınmadan önce doğrulandı."", ""status"": ""prepared_and_curated""}","gerçek zamanlı taktik/operasyonel durumsal farkındalık, Müttefik/koalisyon ortakları",completed
